profile	1.1.0	1.1.0-c3781bc-dirty-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.4.152	# Last updated Tue Mar  4 22:12:49 2025
  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
     48.5096	      61.204	      61.204	       99106	 0.000489472	        4x8x8x18	N4quda12DslashCoarseIfffLi2ELi24ELb1ELb0ELb0ELNS_10DslashTypeE2EEE	policy_kernel,GPU-offline,vol=4608,parity=1,precision=4,order=2,Ns=2,Nc=24,comm=0001,full,halo=00000011,n_rhs=1	# 1387.28 Gflop/s, 1420.72 GB/s, tuning took 1.886897 seconds at Sun Aug 18 11:51:59 2024
      14.142	     17.8427	     79.0467	       28852	 0.000490155	        4x8x8x18	N4quda12DslashCoarseIfffLi2ELi24ELb1ELb0ELb1ELNS_10DslashTypeE2EEE	policy_kernel,GPU-offline,vol=4608,parity=1,precision=4,order=2,Ns=2,Nc=24,comm=0001,full,halo=00000011,n_rhs=1	# 1385.35 Gflop/s, 1418.74 GB/s, tuning took 1.810438 seconds at Sun Aug 18 11:53:21 2024
     5.76491	     7.27351	     86.3202	       50266	 0.000114688	        2x4x4x18	N4quda12DslashCoarseIfffLi2ELi32ELb1ELb0ELb0ELNS_10DslashTypeE2EEE	policy_kernel,GPU-offline,vol=576,parity=1,precision=4,order=2,Ns=2,Nc=32,comm=0001,full,halo=00000011,n_rhs=1	# 1315.93 Gflop/s, 1339.71 GB/s, tuning took 0.419145 seconds at Sun Aug 18 11:54:22 2024
     1.38604	     1.74875	      88.069	        7824	 0.000177152	     12x24x24x36	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIfLi3ELi4EL21QudaReconstructType_s12EEEEE	policy_kernel=interior,GPU-offline,vol=248832,parity=1,precision=4,order=4,Ns=4,Nc=3,commDim=0001,xpay,comm=0001	# 2577.95 Gflop/s, 1977.71 GB/s, tuning took 0.229986 seconds at Sun Aug 18 11:46:48 2024
     1.25263	     1.58043	     89.6494	        7820	 0.000160183	     12x24x24x36	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIfLi3ELi4EL21QudaReconstructType_s12EEEEE	policy_kernel=interior,GPU-offline,vol=248832,parity=1,precision=4,order=4,Ns=4,Nc=3,commDim=0001,comm=0001	# 2776.49 Gflop/s, 2187.22 GB/s, tuning took 0.213730 seconds at Sun Aug 18 11:46:39 2024
    0.715887	    0.903225	     90.5526	      127958	  5.5947e-06	      4x8x8x18x1	N4quda9GhostPackIffL16QudaFieldOrder_s2ELi2ELi24EEE	GPU-offline,vol=4608,parity=1,precision=4,order=2,Ns=2,Nc=24,halo_prec=4,comm=0001,topo=1112,order=01,dest=00000011,nFace=1,spins_per_thread=2,colors_per_thread=2,shmem=0,batched	# 0.00 Gflop/s, 70.28 GB/s, tuning took 0.011830 seconds at Sun Aug 18 11:51:57 2024
    0.444662	    0.561024	     91.1137	        4720	  9.4208e-05	     12x24x24x36	N4quda4blas10caxpyxmaz_IfEE	GPU-offline,vol=248832,parity=1,precision=4,order=4,Ns=4,Nc=3	# 507.13 Gflop/s, 1267.83 GB/s, tuning took 0.021278 seconds at Sun Aug 18 11:54:44 2024
    0.402059	    0.507273	     91.6209	        2510	 0.000160183	     12x24x24x36	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIfLi3ELi4EL21QudaReconstructType_s12EEEEE	policy_kernel=interior,GPU-offline,vol=248832,parity=1,precision=4,order=4,Ns=4,Nc=3,commDim=0001,dagger,comm=0001	# 2776.49 Gflop/s, 2187.22 GB/s, tuning took 0.214282 seconds at Sun Aug 18 11:46:59 2024
    0.384921	     0.48565	     92.1066	       32861	 1.17136e-05	        4x8x8x18	N4quda4blas10CdotNormABIdfEE	GPU-offline,vol=4608,parity=1,precision=4,order=2,Ns=2,Nc=24	# 302.12 Gflop/s, 302.12 GB/s, tuning took 0.075366 seconds at Sun Aug 18 11:54:43 2024
     0.37642	    0.474925	     92.5815	       50266	 7.48856e-06	      2x4x4x18x1	N4quda9GhostPackIffL16QudaFieldOrder_s2ELi2ELi32EEE	GPU-offline,vol=576,parity=1,precision=4,order=2,Ns=2,Nc=32,halo_prec=4,comm=0001,topo=1112,order=01,dest=00000022,nFace=1,spins_per_thread=2,colors_per_thread=2,shmem=0,batched	# 0.00 Gflop/s, 8.75 GB/s, tuning took 0.012647 seconds at Sun Aug 18 11:54:22 2024
